weapon_level,base_damage
1,114.82
2,185.19
3,256.45
4,289.34
5,312.6
6,338.34
7,366.23
8,396.67
9,429.34
10,464.2
11,501.67
12,541.13
13,585.56
14,632.23
15,683.56
16,737.34
17,795.56
18,858.67
19,926.3
20,1000.93
21,1080.31
22,1166.67
23,1260.01
24,1360.19
25,1470.01
26,1586.67
27,1712.66
28,1850.31
29,1997.34
30,2156.0
31,2328.52
32,2515.28
33,2716.0
34,2932.97
35,3168.52
36,3422.97
37,3696.0
38,3992.29
39,4312.0
40,4657.34
41,5030.67
42,5432.0
43,5865.98
44,6335.01
45,6841.34
46,7389.63
47,7980.01
48,8619.26
49,9310.01
50,10054.45
51,10306.49
52,10544.45
53,10826.77
54,11097.39
55,11375.12
56,11659.82
57,11951.49
58,12250.19
59,12555.75
60,12870.68
61,13192.78
62,13521.86
63,13860.19
64,14207.78
65,14562.5
66,14926.49
67,15299.82
68,15682.41
69,16074.45
70,16475.76
71,16888.75
72,17311.12
73,17574.7
74,18186.12
75,18641.12
76,19107.78
77,19586.12
78,20076.12
79,20577.78
80,21091.12
81,21618.52
82,22159.82
83,22712.78
84,23279.87
85,23860.81
86,24458.15
87,25069.45
88,25697.12
89,26338.77
90,26996.86
91,27671.12
92,28361.86
93,29071.12
94,29796.86
95,30541.12
96,31304.17
97,32085.86
98,32888.52
99,33709.82
100,35000.19
