level,base_hp,damage,exp_to_next,displayed_hp,tank_hp_pct
1,100,70,1500,100,100
2,103,100,4600,103,100
3,105,115,5290,105,100
4,109,124,6084,109,100
5,113,134,6996,113,100
6,116,145,8046,116,100
7,121,157,9252,145,120
8,125,170,10640,175,140
9,129,184,12236,206,160
10,133,199,14072,212,160
11,137,215,15198,219,160
12,142,232,16414,227,160
13,147,251,17728,235,160
14,152,271,19146,243,160
15,157,293,20678,251,160
16,162,316,22332,291,180
17,167,341,24118,367,220
18,173,368,26048,380,220
19,179,397,28132,393,220
20,185,429,30382,407,220
21,191,463,32812,420,220
22,197,500,35436,433,220
23,204,540,38270,448,220
24,211,583,41332,464,220
25,218,630,44638,479,220
26,225,680,48210,495,220
27,232,734,52066,510,220
28,240,793,56232,528,220
29,248,856,60730,545,220
30,256,924,85264,563,220
31,264,997,92087,633,240
32,273,1078,99453,655,240
33,282,1164,107409,676,240
34,291,1257,116002,698,240
35,301,1358,125281,722,240
36,311,1467,135304,746,240
37,321,1584,146128,770,240
38,332,1711,157817,929,280
39,343,1848,170443,960,280
40,354,1995,184078,1062,300
41,366,2156,198804,1317,360
42,378,2328,214708,1360,360
43,390,2514,231885,1404,360
44,403,2715,250436,1450,360
45,416,2932,270471,1497,360
46,430,3167,292109,1548,360
47,444,3420,315478,1598,360
48,459,3693,340716,1744,380
49,474,3990,367973,1895,400
50,500,4500,400000,2100,420
