DAILY HELP BONUS,,21,23,24,25,26,27,28,29,30,31,1,2,2,3,3,4,4,4,4,4,4,5,6,6,6,7,8,9,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Spirhalite Gems,1.524,76.19%,X,X,X,X,X,,X,,X,X,,X,,X,,,,,,X,X,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 weapons,1.429,28.57%,,,,,,X,,X,,,X,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 gadget parts,0.476,9.52%,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000 Spirhalite Shards,4761.905,23.81%,,,,,,,,,,,,,,,,,,X,,,,X,X,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,^ then beat the game,,,,,,,,,,,,,,,,,,,,,^ version update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTTOMLESS BUFFET F97-F99,avg per run,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 weapons,0.507,16.90%,,,,,,X,X,,X,,X,,,,,,,X,,,,X,,,,,,,,,,,,X,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,"[1,1,3]",,,"[1,2,1]",,,"[2,2,1]",,
3 gadget parts,0.507,16.90%,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,"[2,2,2]","[1,1,1]",,,,,,"[2,2,2]",,,"[1,1,1]",,,,"[1,2,1]",,,,"[5,2,2]",,,,,,,"[2,1,5]"
15k Spirhalite Shards,7605.634,50.70%,,,X,,,,,X,,X,,X,X,X,,X,X,,X,X,X,,X,X,,X,,,X,,X,X,,,X,,X,,X,X,X,,X,X,X,X,,X,,,,,X,,,X,,X,X,,,X,X,,,X,,,,,X,X,,,
2 Spirhalite Gems,0.169,8.45%,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,
Salty Tongue's Bucket x20,0.282,1.41%,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salivator's Plastic Bag,0.000,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
