Level,base HP,DMG,EXP to next,,,displayed HP,tank,adjusted,,,,compared to previous level...,,,,,,,,,,,,,,,,,,.
1,100,70,"1,500",,,100,100%,100.00,,,,,HP mult,DMG mult,EXP mult,,"Every time the player levels up, their base HP and Damage values increase,",,,,,,,,,,,,,
2,103,100,"4,600",,,103,100%,103.00,,,,,1.030,1.429,3.067,,and (up to level 50) they get a skill point (spent to upgrade their stats even more).,,,,,,,,,,,,,
3,105,115,"5,290",,,105,100%,105.00,,,,,1.019,1.150,1.150,,,,,,,,,,,,,,,
4,109,124,"6,084",,,109,100%,109.00,,,,,1.038,1.078,1.150,,"The damage value displayed on level-up is not affected by the skill point upgrades, but the HP value is...",,,,,,,,,,,,,
5,113,134,"6,996",,,113,100%,113.00,,,,,1.037,1.081,1.150,,,,,,,,,,,,,,,
6,116,145,"8,046",,,116,100%,116.00,upgraded HP by +20% to 140,,,,1.027,1.082,1.150,,"As you can see, apart from the first few levels (up to 3? for HP, up to 3 for damage, up to 2 for EXP),",,,,,,,,,,,,,
7,121,157,"9,252",,,145,120%,120.83,then another +20% to169,,,,1.043,1.083,1.150,,"each value is a fixed multiple of the previous level's value (around 31/30 for HP, 1.08 for damage, 1.08 for EXP apart from level 30),",,,,,,,,,,,,,
8,125,170,"10,640",,,175,140%,125.00,then another +20% to 200,,,,1.033,1.083,1.150,,"up to the softcap level 50 (which has higher multipliers in order to end on nice, round numbers).",,,,,,,,,,,,,
9,129,184,"12,236",,,206,160%,128.75,,,,,1.032,1.082,1.150,,,,,,,,,,,,,,,
10,133,199,"14,072",,,212,160%,132.50,,,,,1.031,1.082,1.150,,,,,,,,,,,,,,,
11,137,215,"15,198",,,219,160%,136.88,,,,,1.030,1.080,1.080,,,,,,,,,,,,,,,
12,142,232,"16,414",,,227,160%,141.88,,,,,1.036,1.079,1.080,,,,,,,,,,,,,,,
13,147,251,"17,728",,,235,160%,146.88,,,,,1.035,1.082,1.080,,,,,,,,,,,,,,,
14,152,271,"19,146",,,243,160%,151.88,,,,,1.034,1.080,1.080,,,,,,,,,,,,,,,
15,157,293,"20,678",,,251,160%,156.88,then +20% HP to 282,,,,1.033,1.081,1.080,,,,,,,,,,,,,,,
16,162,316,"22,332",,,291,180%,161.67,then +40% HP to 356,,,,1.032,1.078,1.080,,,,,,,,,,,,,,,
17,167,341,"24,118",,,367,220%,166.82,,,,,1.031,1.079,1.080,,,,,,,,,,,,,,,
18,173,368,"26,048",,,380,220%,172.73,,,,,1.036,1.079,1.080,,,,,,,,,,,,,,,
19,179,397,"28,132",,,393,220%,178.64,,,,,1.035,1.079,1.080,,,,,,,,,,,,,,,
20,185,429,"30,382",,,407,220%,185.00,,,,,1.034,1.081,1.080,,,,,,,,,,,,,,,
21,191,463,"32,812",,,420,220%,190.91,,,,,1.032,1.079,1.080,,,,,,,,,,,,,,,
22,197,500,"35,436",,,433,220%,196.82,,,,,1.031,1.080,1.080,,,,,,,,,,,,,,,
23,204,540,"38,270",,,448,220%,203.64,,,,,1.036,1.080,1.080,,,,,,,,,,,,,,,
24,211,583,"41,332",,,464,220%,210.91,,,,,1.034,1.080,1.080,,,,,,,,,,,,,,,
25,218,630,"44,638",,,479,220%,217.73,,,,,1.033,1.081,1.080,,,,,,,,,,,,,,,
26,225,680,"48,210",,,495,220%,225.00,,,,,1.032,1.079,1.080,,,,,,,,,,,,,,,
27,232,734,"52,066",,,510,220%,231.82,,,,,1.031,1.079,1.080,,,,,,,,,,,,,,,
28,240,793,"56,232",,,528,220%,240.00,,,,,1.034,1.080,1.080,,,,,,,,,,,,,,,
29,248,856,"60,730",,,545,220%,247.73,,,,,1.033,1.079,1.080,,,,,,,,,,,,,,,
30,256,924,"85,264",,,563,220%,255.91,then +20% more HP,,,,1.032,1.079,1.404,,,,,,,,,,,,,,,
31,264,997,"92,087",,,633,240%,263.75,,,,,1.031,1.079,1.080,,,,,,,,,,,,,,,
32,273,1078,"99,453",,,655,240%,272.92,,,,,1.034,1.081,1.080,,,,,,,,,,,,,,,
33,282,1164,"107,409",,,676,240%,281.67,,,,,1.033,1.080,1.080,,,,,,,,,,,,,,,
34,291,1257,"116,002",,,698,240%,290.83,,,,,1.032,1.080,1.080,,,,,,,,,,,,,,,
35,301,1358,"125,281",,,722,240%,300.83,,,,,1.034,1.080,1.080,,,,,,,,,,,,,,,
36,311,1467,"135,304",,,746,240%,310.83,,,,,1.033,1.080,1.080,,,,,,,,,,,,,,,
37,321,1584,"146,128",,,770,240%,320.83,then +40% more HP,,,,1.032,1.080,1.080,,,,,,,,,,,,,,,
38,332,1711,"157,817",,,929,280%,331.79,,,,,1.034,1.080,1.080,,,,,,,,,,,,,,,
39,343,1848,"170,443",,,960,280%,342.86,then +20%,,,,1.033,1.080,1.080,,,,,,,,,,,,,,,
40,354,1995,"184,078",,,1062,300%,354.00,then +60% to 1274,,,,1.032,1.080,1.080,,,,,,,,,,,,,,,
41,366,2156,"198,804",,,1317,360%,365.83,,,,,1.034,1.081,1.080,,,,,,,,,,,,,,,
42,378,2328,"214,708",,,1360,360%,377.78,,,,,1.033,1.080,1.080,,,,,,,,,,,,,,,
43,390,2514,"231,885",,,1404,360%,390.00,,,,,1.032,1.080,1.080,,,,,,,,,,,,,,,
44,403,2715,"250,436",,,1450,360%,402.78,,,,,1.033,1.080,1.080,,,,,,,,,,,,,,,
45,416,2932,"270,471",,,1497,360%,415.83,,,,,1.032,1.080,1.080,,,,,,,,,,,,,,,
46,430,3167,"292,109",,,1548,360%,430.00,,,,,1.034,1.080,1.080,,,,,,,,,,,,,,,
47,444,3420,"315,478",,,1598,360%,443.89,then +20% to 1687,,,,1.033,1.080,1.080,,,,,,,,,,,,,,,
48,459,3693,"340,716",,,1744,380%,458.95,then +20% to 1836,,,,1.034,1.080,1.080,,,,,,,,,,,,,,,
49,474,3990,"367,973",,,1895,400%,473.75,then +20% to 1990,,,,1.033,1.080,1.080,,,,,,,,,,,,,,,
50,500.0,4500,"400,000",,,2100,420%,500.00,,,,,1.055,1.128,1.087,,,,,,,,,,,,,,,
51,500.5,4502,"400,000",,,2102,420%,500.48,then +80% to 2502,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
52,501.0,4504,"400,000",,,2505,500%,501.00,,,,,1.001,1.000,1.000,,"Once you reach player level 50, the number becomes yellow, and additional level-ups are instead marked as",,,,,,,,,,,,,
53,501.5,4506,"400,000",,,2507,500%,501.40,,,,,1.001,1.000,1.000,,"""50 +1"", ""50 +2"", and so on, and befitting of the difference in notation these level-ups are completely different.",,,,,,,,,,,,,
54,502.0,4508,"400,000",,,2510,500%,502.00,,,,,1.001,1.000,1.000,,"Now every level adds a fixed 0.5 base HP (rounded down) and 2 damage, and takes a constant 400,000 EXP, up to 50+999.",,,,,,,,,,,,,
55,502.5,4510,"400,000",,,2512,500%,502.40,,,,,1.001,1.000,1.000,,"Because of this, additional levels do nearly nothing to make you stronger, and are moreso a marker of how much you've played.",,,,,,,,,,,,,
56,503.0,4512,"400,000",,,2515,500%,503.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
57,503.5,4514,"400,000",,,2517,500%,503.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
58,504.0,4516,"400,000",,,2520,500%,504.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
59,504.5,4518,"400,000",,,2522,500%,504.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
60,505.0,4520,"400,000",,,2525,500%,505.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
61,505.5,4522,"400,000",,,2527,500%,505.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
62,506.0,4524,"400,000",,,2530,500%,506.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
63,506.5,4526,"400,000",,,2532,500%,506.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
64,507.0,4528,"400,000",,,2535,500%,507.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
65,507.5,4530,"400,000",,,2537,500%,507.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
66,508.0,4532,"400,000",,,2540,500%,508.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
67,508.5,4534,"400,000",,,2542,500%,508.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
68,509.0,4536,"400,000",,,2545,500%,509.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
69,509.5,4538,"400,000",,,2547,500%,509.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
70,510.0,4540,"400,000",,,2550,500%,510.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
71,510.5,4542,"400,000",,,2552,500%,510.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
72,511.0,4544,"400,000",,,2555,500%,511.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
73,511.5,4546,"400,000",,,2557,500%,511.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
74,512.0,4548,"400,000",,,2560,500%,512.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
75,512.5,4550,"400,000",,,2562,500%,512.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
76,513.0,4552,"400,000",,,2565,500%,513.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
