Level,Spirhalite shard level-up costs (cumulative +1 to +N),,,,,,"You can pay Spirhalite shards in order to power up weapons. For example, upgrading a level 30 weapon 5 times will show ""30 +5"".",,,,,,,,,,,,,,,,,,,,
1,250,512,787,1076,1379,,These are effectively weapon level-ups: a (say) level 30 +5 weapon will have identical damage stats to a level 35 weapon.,,,,,,,,,,,,,,,,,,,,
2,270,553,850,1162,1490,,4-star weapons and below are limited to +5 power-ups;,,,,,,,,,,,,,,,,,,,,
3,291,596,916,1252,1605,,"5-star weapons can be powered up to 100 (albeit only +10 at a time), and in addition to the Spirhalite shards it also costs N Spirhalite Gems per (Nx10)th power-up.",,,,,,,,,,,,,,,,,,,,
4,312,639,982,1343,1722,,"Each successive power-up's cost is the same multiple (x1.05) of the previous individual power-up's cost, so the cost of the first level-up is the main point of interest.",,,,,,,,,,,,,,,,,,,,
5,333,682,1049,1434,1838,,,,,,,,,,,,,,,,,,,,,,
6,354,725,1115,1524,1954,,"If you instead want individual power-up costs instead of cumulative/total costs (or a more readable vertical table for level 50 weapons), see below.",,,,,,,,,,,,,,,,,,,,
7,375,768,1181,1615,2070,,,,,,,,,,,,,,,,,,,,,,
8,395,809,1244,1701,2181,,,,,,,,,,,,,,,,,,,,,,
9,416,852,1310,1791,2296,,,,,,,,,,,,,,,,,,,,,,
10,437,895,1376,1881,2412,,,,,,,,,,,,,,,,,,,,,,
11,458,938,1442,1972,2528,,,,,,,,,,,,,,,,,,,,,,
12,479,981,1509,2063,2645,,,,,,,,,,,,,,,,,,,,,,
13,500,1025,1576,2154,2761,,,,,,,,,,,,,,,,,,,,,,
14,550,1127,1733,2369,3037,,,,,,,,,,,,,,,,,,,,,,
15,600,1230,1891,2585,3314,,,,,,,,,,,,,,,,,,,,,,
16,650,1332,2048,2800,3590,,,,,,,,,,,,,,,,,,,,,,
17,700,1434,2205,3015,3865,,,,,,,,,,,,,,,,,,,,,,
18,750,1537,2363,3231,4142,,,,,,,,,,,,,,,,,,,,,,
19,800,1639,2520,3446,4418,,,,,,,,,,,,,,,,,,,,,,
20,850,1742,2679,3662,4695,,,,,,,,,,,,,,,,,,,,,,
21,900,1844,2836,3877,4970,,,,,,,,,,,,,,,,,,,,,,
22,950,1947,2994,4093,5247,,,,,,,,,,,,,,,,,,,,,,
23,1000,2050,3152,4309,5524,,,,,,,,,,,,,,,,,,,,,,
24,1136,2328,3580,4895,6275,,,,,,,,,,,,,,,,,,,,,,
25,1272,2607,4009,5481,7027,,,,,,,,,,,,,,,,,,,,,,
26,1409,2888,4441,6072,7784,,,,,,,,,,,,,,,,,,,,,,
27,1545,3167,4870,6658,8535,,,,,,,,,,,,,,,,,,,,,,
28,1681,3446,5299,7244,9287,,,,,,,,,,,,,,,,,,,,,,
29,1818,3726,5730,7834,10043,,,,,,,,,,,,,,,,,,,,,,
30,1954,4005,6159,8420,10795,,,,,,,,,,,,,,,,,,,,,,
31,2090,4284,6588,9007,11547,,,,,,,,,,,,,,,,,,,,,,
32,2227,4565,7020,9598,12304,,,,,,,,,,,,,,,,,,,,,,
33,2363,4844,7449,10184,13056,,,,,,,,,,,,,,,,,,,,,,
34,2500,5125,7881,10775,13813,,,,,,,,,,,,,,,,,,,,,,
35,2545,5217,8022,10968,14061,,,,,,,,,,,,,,,,,,,,,,
36,2590,5309,8164,11162,14310,,,,,,,,,,,,,,,,,,,,,,
37,2636,5403,8309,11360,14564,,,,,,,,,,,,,,,,,,,,,,
38,2681,5496,8451,11554,14812,,,,,,,,,,,,,,,,,,,,,,
39,2727,5590,8596,11752,15066,,,,,,,,,,,,,,,,,,,,,,
40,2772,5682,8738,11946,15315,18852,22566,26466,30561,34861,,,,,,,,,,,,,,,,,
41,2818,5776,8882,12144,15569,19165,22941,26906,31069,35440,,,,,,,,,,,,,,,,,
42,2863,5869,9025,12339,15818,,,,,,,,,,,,,,,,,,,,,,
43,2909,5963,9170,12537,16072,,,,,,,,,,,,,,,,,,,,,,
44,2954,6055,9311,12730,16320,,,,,,,,,,,,,,,,,,,,,,
45,3000,6149,9456,12928,16574,,,,,,,,,,,,,,,,,,,,,,
46,3196,6551,10074,13773,17657,,,,,,,,,,,,,,,,,,,,,,
47,3272,6707,10314,14101,18078,,,,,,,,,,,,,,,,,,,,,,
48,3348,6863,10554,14429,18498,,,,,,,,,,,,,,,,,,,,,,
49,3424,7019,10793,14756,18917,,,,,,,,,,,,,,,,,,,,,,
50,3500,7174,11032,15083,19337,23803,28493,33417,38588,44017,...,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Spirhalite shard level-up costs (individual +N),,,,,,,,,,,,,,,,,,,,,,,,,,"Since each successive upgrade costs x1.05 the previous one (rounding notwithstanding), you can also estimate the cumulative cost with the geometric series function:"
1,250,262,275,289,303,,,,,or for just level 50 weapons:,,,Upgrade #,Individual / Cumulative cost,,,Cost ≈,3500 x (1 - 1.05^N) / (1 - 1.05),,,,,,,,,
2,270,283,297,312,328,,,,,,,,1,"3,500","3,500",,"3,500",,,,,,,,,,
3,291,305,320,336,353,,,,,,,,2,"3,674","7,174",,"7,175",,,,,,,,,,
4,312,327,343,361,379,,,,,,,,3,"3,858","11,032",,"11,034",,,,,,,,,,
5,333,349,367,385,404,,,,,,,,4,"4,051","15,083",,"15,085",,,,,,,,,,
6,354,371,390,409,430,,,,,,,,5,"4,254","19,337",,"19,340",,,,,,,,,,
7,375,393,413,434,455,,,,,,,,6,"4,466","23,803",,"23,807",,,,,,,,,,
8,395,414,435,457,480,,,,,,,,7,"4,690","28,493",,"28,497",,,,,,,,,,
9,416,436,458,481,505,,,,,,,,8,"4,924","33,417",,"33,422",,,,,,,,,,
10,437,458,481,505,531,,,,,,,,9,"5,171","38,588",,"38,593",,,,,,,,,,
11,458,480,504,530,556,,,,,,,,10,"5,429","44,017",+1 gem,"44,023",,,,,,,,,,
12,479,502,528,554,582,,,,,,,,11,"5,701","49,718",,"49,724",,,,,,,,,,
13,500,525,551,578,607,,,,,,,,12,"5,986","55,704",,"55,710",,,,,,,,,,
14,550,577,606,636,668,,,,,,,,13,"6,285","61,989",,"61,995",,,,,,,,,,
15,600,630,661,694,729,,,,,,,,14,"6,599","68,588",,"68,595",,,,,,,,,,
16,650,682,716,752,790,,,,,,,,15,"6,929","75,517",,"75,525",,,,,,,,,,
17,700,734,771,810,850,,,,,,,,16,"7,276","82,793",,"82,801",,,,,,,,,,
18,750,787,826,868,911,,,,,,,,17,"7,640","90,433",,"90,441",,,,,,,,,,
19,800,839,881,926,972,,,,,,,,18,"8,022","98,455",,"98,463",,,,,,,,,,
20,850,892,937,983,1033,,,,,,,,19,"8,423","106,878",,"106,887",,,,,,,,,,
21,900,944,992,1041,1093,,,,,,,,20,"8,844","115,722",+2 gems,"115,731",,,,,,,,,,
22,950,997,1047,1099,1154,,,,,,,,21,"9,286","125,008",,"125,017",,,,,,,,,,
23,1000,1050,1102,1157,1215,,,,,,,,22,"9,750","134,758",,"134,768",,,,,,,,,,
24,1136,1192,1252,1315,1380,,,,,,,,23,"10,238","144,996",,"145,007",,,,,,,,,,
25,1272,1335,1402,1472,1546,,,,,,,,24,"10,750","155,746",,"155,757",,,,,,,,,,
26,1409,1479,1553,1631,1712,,,,,,,,25,"11,287","167,033",,"167,045",,,,,,,,,,
27,1545,1622,1703,1788,1877,,,,,,,,26,"11,852","178,885",,"178,897",,,,,,,,,,
28,1681,1765,1853,1945,2043,,,,,,,,27,"12,444","191,329",,"191,342",,,,,,,,,,
29,1818,1908,2004,2104,2209,,,,,,,,28,"13,067","204,396",,"204,409",,,,,,,,,,
30,1954,2051,2154,2261,2375,,,,,,,,29,"13,720","218,116",,"218,129",,,,,,,,,,
31,2090,2194,2304,2419,2540,,,,,,,,30,"14,406","232,522",+3 gems,"232,536",,,,,,,,,,
32,2227,2338,2455,2578,2706,,,,,,,,31,"15,126","247,648",,"247,663",,,,,,,,,,
33,2363,2481,2605,2735,2872,,,,,,,,32,"15,883","263,531",,"263,546",,,,,,,,,,
34,2500,2625,2756,2894,3038,,,,,,,,33,"16,677","280,208",,"280,223",,,,,,,,,,
35,2545,2672,2805,2946,3093,,,,,,,,34,"17,511","297,719",,"297,734",,,,,,,,,,
