,Plastic-Bottle Splattershot,,,Water-Wing Splattershot Jr.,,,Jam Squelcher,,,Balloon Roller,,,Duct Roller,,,Diesel 4K,,,Detergent Charger,,,Polyethylene Slosher,,,Oil-Drum Pow Slosher,,,LPG Splatling,,,Gas-Can Splatling,,,Diner Dualies,,,Aluminum Twincans,,,Palm Brella,,,Tarp Brella,,,Oil Blaster,,,Toy-Claw Blaster,,,Cycle Brush,,,Bamboo Stringer,,,Wooden Splatana,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
,Soap-Bottle Splattershot,,,Flamingo Splattershot Jr.,,,Perfume Squelcher,,,Shrimp Roller,,,Turbine Roller,,,Unleaded 4K,,,Cleaner Charger,,,Sand Slosher,,,Shichirin Pow Slosher,,,ABC Splatling,,,Buoy Splatling,,,Sippy-Cup Dualies,,,Steel Twincans,,,Flower Brella,,,Food-Stall Brella,,,Steam Blaster,,,Toy-Horn Blaster,,,Pulley Brush,,,Racket Stringer,,,Plastic Splatana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Glass-Bottle Splattershot,,,Lifeguard Splattershot Jr.,,,Olive-Oil Squelcher,,,Inner-Tube Roller,,,Engine Roller,,,High-Octane 4K,,,Bleach Charger,,,Camo Slosher,,,Clay-Pot Pow Slosher,,,LN2 Splatling,,,Water-Jug Splatling,,,Sport-Bottle Dualies,,,Titanium Twincans,,,Fruit Brella,,,Thermal Brella,,,Butane Blaster,,,Toy-Shark Blaster,,,Touring Brush,,,Alpine Stringer,,,Rail Splatana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Splattershot – Shot,,,Splattershot Jr. – Shot,,,Squelcher – Shot,,,Splat Roller – Horizontal swing,Splat Roller – Vertical swing,Splat Roller – Inkling on the go,Dynamo Roller – Horizontal swing,Dynamo Roller – Vertical swing,Dynamo Roller – Inkling on the go,E-liter – Full charge,E-liter – Minimum charge,,Squiffer – Full charge,Squiffer – Minimum charge,,Slosher – Single slosh,,,Sloshing Machine – Direct hit,Sloshing Machine – Explosion,,Heavy Splatling – Shot,,,Mini Splatling – Shot,,,Splat Dualies – Shot,,,Glooga Dualies – Pre-Dodge Roll,Glooga Dualies – Post-Dodge Roll,,Splat Brella – All shots hit,Splat Brella – Single shot,Splat Brella – Launched brella,Tenta Brella – All shots hit,Tenta Brella – Single shot,Tenta Brella – Launched brella,Blaster – Direct hit,Blaster – Explosion (max),Blaster – Explosion (min),Rapid Blaster Pro – Direct hit,Rapid Blaster Pro – Explosion,,Octobrush – Brush swing,Octobrush – Inking on the go,,Tri-Stringer – Explosion,Tri-Sringer – Full charge,Tri-Stringer – Minimum charge,Splatana Stamper – Horizontal slash,Splatana Stamper – Charged slash,Splatana Stamper – Charged slash (direct hit), ,,,,,,,,,,,,,,,,,,,,,,,,,
Factor,0.108,,,0.090,,,0.162,,,0.450,0.600,0.360,0.720,1.080,1.800,1.800,0.150,,0.750,0.150,,0.480,,,0.600,0.360,,0.405,,,0.117,,,0.117,,,0.162,0.234,,0.540,0.108,0.450,1.080,0.153,0.750,0.660,0.462,0.330,0.540,0.270,,0.180,0.120,,0.120,0.360,,0.300,0.540,0.660,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1246,,"Weapons' displayed damage values increase with player level and skill point tank-upgrade weapon damage, not just weapon level;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,1265,,the values listed here are specifically for a level 50 player (4500 player damage) with +200% weapon damage (though the above scaling factors do not include this x3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1541,,,1284,,"Comparing all weapons' damage (see chart to right) shows that they all have the same curve, just with a weapon-specific scaling factor.",,,,,,,,,,,,,10702,2140,,6849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1551,,,1293,,,,,,6465,8620,5172,,,,,,,10776,2155,,6896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1559,,,1299,,,,,,6497,8862,5197,,,,,,,10828,2165,,6930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1567,,,1306,,,,,,6531,8709,5225,,,,,,,10886,2177,,6967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2612,1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
