Level,Splattershot Jr. – Shot,Splattershot – Shot,Splat Brella – Single shot,Mini Splatling – Shot,Splat Dualies – Shot,Octobrush – Inking on the go,Tri-Stringer – Explosion,Heavy Splatling – Shot,E-liter – Minimum charge,Squiffer – Minimum charge,Tenta Brella – Single shot,Squelcher – Shot,Glooga Dualies – Pre-Dodge Roll,Octobrush – Brush swing,Glooga Dualies – Post-Dodge Roll,Rapid Blaster Pro – Explosion,Splatana Stamper – Horizontal slash,Blaster – Explosion (min),Splat Roller – Inkling on the go,Sloshing Machine - Explosion,Tri-Sringer – Full charge,Splat Roller – Horizontal swing,Splat Brella – Launched brella,Blaster – Explosion (max),Slosher – Single slosh,Splat Brella – All shots hit,Rapid Blaster Pro – Direct hit,Splatana Stamper – Charged slash,Splat Roller – Vertical swing,Sloshing Machine – Direct hit,Blaster – Direct hit,Splatana Stamper – Charged slash (direct hit),Dynamo Roller – Horizontal swing,Squiffer – Full charge,Tenta Brella – Launched brella,Dynamo Roller – Vertical swing,Tenta Brella – All shots hit,Dynamo Roller – Inkling on the go,E-liter – Full charge,,,Assuming the player-dmg-to-weapon-dmg multiplier for E-liter is,,,,,,5.4,(see next tab),,,,,,,,,,,,,,,,,,,,,,.
Factor,0.090,0.108,0.108,0.117,0.117,0.120,0.120,0.135,0.150,0.150,0.153,0.162,0.162,0.180,0.234,0.270,0.300,0.330,0.360,0.360,0.360,0.450,0.450,0.462,0.480,0.540,0.540,0.540,0.600,0.600,0.660,0.660,0.720,0.750,0.750,1.080,1.080,1.800,1.800,,,"then we can divide E-liter full charge damage by 5.4 to get the pre-weapon-factor damage (which is PlayerDamage + InnateWeaponDamage), and then subtract 4500 player damage to get the true base weapon damage values.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24921.45,,,,4615.084, - 4500 = ,115.084,,dmg mult from prev level,,,,,,,,,,,,,,,,,,,,,,,,
2,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Since all weapons use the same curve, here are extrapolated E-liter damage values using the next-highest damage value available (highlighted in yellow):",25301.48,,,,4685.458,,185.458,,1.6115,,"As such, weapons' true base damage values also get multiplied by x1.08 every level (from 5 to 50),",,,,,,,,,,,,,,,,,,,,,,
3,1284,1541,,,,,,,,2140,,,,,,,,,,,,,,,6849,,,,,,,,,10702,,,,,25685.34,,,,4756.544,,256.544,,1.3833,,just like with player damage values... and then above 50 it's instead x1.025.,,,,,,,,,,,,,,,,,,,,,,
4,1293,1551,,,,,,,,2155,,,,,,,,,5172,,,6465,,,6896,,,,8620,,,,,10776,,,,,25862.94,,,,4789.434,,289.434,,1.1282,,,,,,,,,,,,,,,,,,,,,,,,
5,1299,1559,,,,,,,,2165,,,,,,,,,5197,,,6497,,,6930,,,,8862,,,,,10828,,,,,25987.75,,,,4812.545,,312.545,,1.0799,,,,,,,,,,,,,,,,,,,,,,,,
6,1306,1567,,,,1741,,,,2177,,,,2612,,,,,5225,,,6531,,,6967,,,,8709,,,,,10886,,,,,26126.95,,,,4838.324,,338.324,,1.0825,,,,,,,,,,,,,,,,,,,,,,,,
7,1313,1576,,,,1751,,,,2189,,,,2627,,,,4817,5255,,,6569,,6744,7007,,,,8759,,9635,,,10949,,,,,26278.15,,,,4866.324,,366.324,,1.0828,,,,,,,,,,,,,,,,,,,,,,,,
8,1322,1586,,,,1762,,,,2203,,,,2644,,,,4847,5288,,,6610,,6786,7051,,,,8814,,9695,,,11017,,,,,26441.36,,,,4896.547,,396.547,,1.0825,,,,,,,,,,,,,,,,,,,,,,,,
9,1330,1597,1597,,,1774,,,,2218,,,,2661,,,,4880,5323,,,6654,6654,6832,,7895,,,8872,,9760,,,11091,,,,,26618.96,,,,4929.437,,429.437,,1.0829,,,,,,,,,,,,,,,,,,,,,,,,
10,1340,1608,1608,,,1787,,,,2233,,,,2680,,,,4914,5361,,,6701,6701,6880,,8042,,,8935,,9829,,,11169,,,,,26806.16,,,,4964.104,,464.104,,1.0807,,,,,,,,,,,,,,,,,,,,,,,,
11,1350,1620,1620,,,1800,,,,2250,,,,2700,,,,4951,5401,,,6752,6752,6932,,8102,,,9003,,9903,,,11253,,,,,27007.77,,,,5001.438,,501.438,,1.0804,,,,,,,,,,,,,,,,,,,,,,,,
12,1361,1633,1633,,,,,,,,,,,,,,,4990,5444,,,6805,6805,6987,,8166,,,9074,,9981,,,,,,,,27221.34,,,,5040.989,,540.989,,1.0789,,,,,,,,,,,,,,,,,,,,,,,,
13,,1647,1647,,,,,,,,,,,,,,,,5492,,,6865,6865,,,8238,,,9154,,,,,,,,,,27462.00,,,,5085.556,,585.556,,1.0824,,,,,,,,,,,,,,,,,,,,,,,,
14,1385,1662,1662,,,,,,,,,,,,,,,,5542,,,6928,6928,,,8314,,,9238,,,,,,,,,,27714.00,,,,5132.222,,632.222,,1.0797,,,,,,,,,,,,,,,,,,,,,,,,
15,1399,1679,1679,1819,,,,,,2332,,2519,,,,4198,4665,5131,,,,,6997,7184,,8397,8379,8397,,,10263,10263,,11663,,,,,27991.79,,,,5183.664,,683.664,,1.0814,,,,,,,,,,,,,,,,,,,,,,,,
16,1414,1696,1696,1838,1838,1885,1885,,,2356,2403,2545,,2828,,4242,4713,5184,,5656,5656,,7070,7258,,8484,8484,8484,,9427,10369,10369,,11784,11784,,16968,,28280.30,,,,5237.093,,737.093,,1.0782,,,,,,,,,,,,,,,,,,,,,,,,
17,1429,1715,1715,1858,1858,1906,,,,2383,2430,2573,2573,2859,3717,4289,4766,5242,,5719,,,7149,7339,7625,8578,8578,8578,,9532,10485,10485,,11915,11915,,17157,,28595.30,,,,5295.427,,795.427,,1.0791,,,,,,,,,,,,,,,,,,,,,,,,
18,1446,1736,1736,1880,1880,1929,,,2411,2411,2459,2604,2604,2893,3761,4340,4822,5305,5787,5787,,7234,7234,7427,7716,8681,8681,8681,9645,9645,10610,10610,,12057,12057,,17362,,28936,,,,5358.519,,858.519,,1.0793,,,,,,,,,,,,,,,,,,,,,,,,
19,1465,1758,1758,1904,1904,1953,1953,,2441,2441,2490,2637,2637,2930,3809,4395,4883,5372,5860,5860,5860,7325,7325,7520,7813,8790,8790,8790,9767,9767,10744,10744,,12209,12209,,17581,,29302,,,,5426.296,,926.296,,1.0789,,,,,,,,,,,,,,,,,,,,,,,,
20,1485,1782,1782,1930,1930,1980,,,2475,2475,2524,2673,2673,2970,3861,4455,4950,5445,5941,5941,,7426,7426,7624,7921,8911,8911,8911,9901,9901,10891,10891,11882,12377,12377,17823,17823,29705,29705,,,,5500.926,,1000.926,,1.0806,,,,,,,,,,,,,,,,,,,,,,,,
21,1506,1808,1808,1958,1958,2008,,,2511,2511,2561,2712,2712,3013,3917,4520,5022,5524,6026,6026,,7533,7533,7734,8035,9040,9040,9040,10044,10044,11049,11049,12053,12555,12555,18080,18080,30133,30133,,,,5580.185,,1080.185,,1.0792,,,,,,,,,,,,,,,,,,,,,,,,
22,1530,1836,1836,1989,1989,2040,,,2550,2550,2601,2754,2754,3060,3978,4590,5100,5610,6120,6120,,7650,7650,7854,8160,9180,9180,9180,10200,10200,11220,11220,12240,12750,12750,18360,18360,30600,30600,,,,5666.667,,1166.667,,1.0801,,,,,,,,,,,,,,,,,,,,,,,,
23,1555,1866,1866,2021,2021,2073,,,2592,2592,2643,2799,2799,3110,4043,4665,5184,5702,6220,6220,,7776,7776,7983,8294,9331,9331,9331,10368,10368,11404,11404,12441,12960,12960,18662,18662,31104,31104,,,,5760.000,,1260.000,,1.0800,,,,,,,,,,,,,,,,,,,,,,,,
