"There are 120 weapons total (60 base, 60 Primo);",,,,,,,  
"each weapon trio shares the same damage values, but varies in other ways, such as ink efficiency, range, shooting speed, etc.",,,,,,,
(with Primo variants also having the same damage but even more extreme specialties).,,,,,,,
,,,,,,,
/,Plastic-Bottle Splattershot,Balanced shooter optimized for [max] ink efficiency,,,,,
Splattershot,Soap-Bottle Splattershot,Balanced shooter optimized for [max] range and ink coverage.,,,,,
\,Glass-Bottle Splattershot,Balanced shooter optimized for [max] rate of fire.,,,,,
/,Water-Wing Splattershot Jr.,Nimble shooter optimized for [max] ink efficiency.,,,,,
Splattershot Jr.,Flamingo Splattershot Jr.,Nimble shooter optimized for [max] range and ink coverage.,,,,,
\,Lifeguard Splattershot Jr.,Nimble shooter optimized for [max] rate of fire.,,,,,
/,Jam Squelcher,Long-range shooter optimized for [max] ink efficiency.,,,,,
Squelcher,Perfume Squelcher,Long-range shooter optimized for [max] range and ink coverage,,,,,
\,Olive-Oil Squelcher,Long-range shooter optimized for [max] rate of fire.,,,,,
/,Balloon Roller,Balanced roller optimized for [max] ink efficiency.,,,,,
Splat Roller,Shrimp Roller,Balanced roller optimized for [max] attack area of effect and ink coverage.,,,,,
\,Inner-Tube Roller,Balanced roller optimized for [max] swing and ink speed.,,,,,
/,Duct Roller,Heavy-hitting roller optimized for [max] ink efficiency.,,,,,
Dynamo Roller,Turbine Roller,Heavy-hitting roller optimized for [max] attack area of effect and ink coverage.,,,,,
\,Engine Roller,Heavy-hitting roller optimized for [max] swing and ink speed.,,,,,
/,Diesel 4K,Heavy-hitting charger optimized for [max] ink efficiency.,,,,,
E-liter,Unleaded 4K,Heavy-hitting charger optimized for [max] range and ink coverage.,,,,,
\,High-Octane 4K,Heavy-hitting charger optimized for [max] charge speed.,,,,,
/,Detergent Charger,Nimble charger optimized for [max] ink efficiency.,,,,,
Squiffer,Cleaner Charger,Nimble charger optimized for [max] range and ink coverage.,,,,,
\,Bleach Charger,Nimble charger optimized for [max] charge speed.,,,,,
/,Polyethylene Slosher,Balanced slosher optimized for [max] ink efficiency.,,,,,
Slosher,Sand Slosher,Balanced slosher optimized for [max] range and ink coverage.,,,,,
\,Camo Slosher,Balanced slosher optimized for [max] swing speed.,,,,,
/,Oil-Drum Pow Slosher,Explosive slosher optimized for [max] ink efficiency.,,,,,
Sloshing Machine,Shichirin Pow Slosher,Explosive slosher optimized for [max] attack area of effect and ink coverage.,,,,,
\,Clay-Pot Pow Slosher,Explosive slosher optimized for [max] swing speed.,,,,,
/,LPG Splatling,High-capacity splatling optimized for [max] ink efficiency.,,,,,
Heavy Splatling,ABC Splatling,High-capacity splatling optimized for [max] range and ink coverage.,,,,,
\,LN2 Splatling,High-capacity splatling optimized for [max] charge speed.,,,,,
/,Gas-Can Splatling,Nimble splatling optimized for [max] ink efficiency.,,,,,
Mini Splatling,Buoy Splatling,Nimble splatling optimized for [max] range and ink coverage.,,,,,
\,Water-Jug Splatling,Nimble splatling optimized for [max] charge speed.,,,,,
/,Diner Dualies,Balanced dualies optimized for [max] ink efficiency.,,,,,
Splat Dualies,Sippy-Cup Dualies,Balanced dualies optimized for [max] range and ink coverage.,,,,,
\,Sport-Bottle Dualies,Balanced dualies optimized for [max] Dodge Roll speed and rate of fire.,,,,,
/,Aluminum Twincans,Powerful dualies optimized for [max] ink efficiency.,,,,,
Glooga Dualies,Steel Twincans,Powerful dualies optimized for [max] range and ink coverage.,,,,,
\,Titanium Twincans,Powerful dualies optimized for [max] Dodge Roll speed and rate of fire.,,,,,
/,Palm Brella,Balanced brella optimized for [max] ink efficiency.,,,,,
Splat Brella,Flower Brella,Balanced brella optimized for [max] attack area of effect and ink coverage.,,,,,
\,Fruit Brella,Balanced brella optimized for [max] launch speed and rate of fire.,,,,,
/,Tarp Brella,Large brella optimized for [max] ink efficiency.,,,,,
Tenta Brella,Food-Stall Brella,Large brella optimized for [max] attack area of effect and ink coverage.,,,,,
\,Thermal Brella,Large brella optimized for [max] launch speed and rate of fire.,,,,,
/,Oil Blaster,Balanced blaster optimized for [max] ink efficiency.,,,,,
Blaster,Steam Blaster,Balanced blaster optimized for [max] attack area of effect and ink coverage.,,,,,
\,Butane Blaster,Balanced blaster optimized for [max] rate of fire.,,,,,
/,Toy-Claw Blaster,Long-range blaster optimized for [max] ink efficiency.,,,,,
Rapid Blaster Pro,Toy-Horn Blaster,Long-range blaster optimized for [max] attack area of effect and ink coverage.,,,,,
\,Toy-Shark Blaster,Long-range blaster optimized for [max] rate of fire.,,,,,
/,Cycle Brush,Balanced brush optimized for [max] ink efficiency.,,,,,
Octobrush,Pulley Brush,Balanced brush optimized for [max] attack area of effect and ink coverage.,,,,,
\,Touring Brush,Balanced brush optimized for [max] swing and ink speed.,,,,,
/,Bamboo Stringer,Balanced stringer optimized for [max] ink efficiency.,,,,,
Tri-Stringer,Racket Stringer,Balanced stringer optimized for [max] attack area of effect and ink coverage.,,,,,
\,Alpine Stringer,Balanced stringer optimized for [max] charge speed.,,,,,
/,Wooden Splatana,Balanced splatana optimized for [max] ink efficiency.,,,,,
Splatana Stamper,Plastic Splatana,Balanced splatana optimized for [max] range and ink coverage.,,,,,
\,Rail Splatana,Balanced splatana optimized for [max] swing and charge speed.,,,,,
  ,,,,,,,
