base_level,upgrades,cumulative_shards
1,1,250
1,2,512
1,3,787
1,4,1076
1,5,1379
2,1,270
2,2,553
2,3,850
2,4,1162
2,5,1490
3,1,291
3,2,596
3,3,916
3,4,1252
3,5,1605
4,1,312
4,2,639
4,3,982
4,4,1343
4,5,1722
5,1,333
5,2,682
5,3,1049
5,4,1434
5,5,1838
6,1,354
6,2,725
6,3,1115
6,4,1524
6,5,1954
7,1,375
7,2,768
7,3,1181
7,4,1615
7,5,2070
8,1,395
8,2,809
8,3,1244
8,4,1701
8,5,2181
9,1,416
9,2,852
9,3,1310
9,4,1791
9,5,2296
10,1,437
10,2,895
10,3,1376
10,4,1881
10,5,2412
11,1,458
11,2,938
11,3,1442
11,4,1972
11,5,2528
12,1,479
12,2,981
12,3,1509
12,4,2063
12,5,2645
13,1,500
13,2,1025
13,3,1576
13,4,2154
13,5,2761
14,1,550
14,2,1127
14,3,1733
14,4,2369
14,5,3037
15,1,600
15,2,1230
15,3,1891
15,4,2585
15,5,3314
16,1,650
16,2,1332
16,3,2048
16,4,2800
16,5,3590
17,1,700
17,2,1434
17,3,2205
17,4,3015
17,5,3865
18,1,750
18,2,1537
18,3,2363
18,4,3231
18,5,4142
19,1,800
19,2,1639
19,3,2520
19,4,3446
19,5,4418
20,1,850
20,2,1742
20,3,2679
20,4,3662
20,5,4695
21,1,900
21,2,1844
21,3,2836
21,4,3877
21,5,4970
22,1,950
22,2,1947
22,3,2994
22,4,4093
22,5,5247
23,1,1000
23,2,2050
23,3,3152
23,4,4309
23,5,5524
24,1,1136
24,2,2328
24,3,3580
24,4,4895
24,5,6275
25,1,1272
25,2,2607
25,3,4009
25,4,5481
25,5,7027
26,1,1409
26,2,2888
26,3,4441
26,4,6072
26,5,7784
27,1,1545
27,2,3167
27,3,4870
27,4,6658
27,5,8535
28,1,1681
28,2,3446
28,3,5299
28,4,7244
28,5,9287
29,1,1818
29,2,3726
29,3,5730
29,4,7834
29,5,10043
30,1,1954
30,2,4005
30,3,6159
30,4,8420
30,5,10795
31,1,2090
31,2,4284
31,3,6588
31,4,9007
31,5,11547
32,1,2227
32,2,4565
32,3,7020
32,4,9598
32,5,12304
33,1,2363
33,2,4844
33,3,7449
33,4,10184
33,5,13056
34,1,2500
34,2,5125
34,3,7881
34,4,10775
34,5,13813
35,1,2545
35,2,5217
35,3,8022
35,4,10968
35,5,14061
36,1,2590
36,2,5309
36,3,8164
36,4,11162
36,5,14310
37,1,2636
37,2,5403
37,3,8309
37,4,11360
37,5,14564
38,1,2681
38,2,5496
38,3,8451
38,4,11554
38,5,14812
39,1,2727
39,2,5590
39,3,8596
39,4,11752
39,5,15066
40,1,2772
40,2,5682
40,3,8738
40,4,11946
40,5,15315
40,6,18852
40,7,22566
40,8,26466
40,9,30561
40,10,34861
41,1,2818
41,2,5776
41,3,8882
41,4,12144
41,5,15569
41,6,19165
41,7,22941
41,8,26906
41,9,31069
41,10,35440
42,1,2863
42,2,5869
42,3,9025
42,4,12339
42,5,15818
43,1,2909
43,2,5963
43,3,9170
43,4,12537
43,5,16072
44,1,2954
44,2,6055
44,3,9311
44,4,12730
44,5,16320
45,1,3000
45,2,6149
45,3,9456
45,4,12928
45,5,16574
46,1,3196
46,2,6551
46,3,10074
46,4,13773
46,5,17657
47,1,3272
47,2,6707
47,3,10314
47,4,14101
47,5,18078
48,1,3348
48,2,6863
48,3,10554
48,4,14429
48,5,18498
49,1,3424
49,2,7019
49,3,10793
49,4,14756
49,5,18917
50,1,3500
50,2,7174
50,3,11032
50,4,15083
50,5,19337
50,6,23803
50,7,28493
50,8,33417
50,9,38588
50,10,44017
