player_damage,weapon_level,family,attack,displayed_damage
4500,1,Splattershot Jr.,Shot,1246
4500,2,Splattershot Jr.,Shot,1265
4500,3,Splattershot,Shot,1541
4500,3,Splattershot Jr.,Shot,1284
4500,3,Squiffer,Full charge,10702
4500,3,Squiffer,Minimum charge,2140
4500,3,Slosher,Single slosh,6849
4500,4,Splattershot,Shot,1551
4500,4,Splattershot Jr.,Shot,1293
4500,4,Splat Roller,Horizontal swing,6465
4500,4,Splat Roller,Vertical swing,8620
4500,4,Splat Roller,Inkling on the go,5172
4500,4,Squiffer,Full charge,10776
4500,4,Squiffer,Minimum charge,2155
4500,4,Slosher,Single slosh,6896
4500,5,Splattershot,Shot,1559
4500,5,Splattershot Jr.,Shot,1299
4500,5,Splat Roller,Horizontal swing,6497
4500,5,Splat Roller,Vertical swing,8862
4500,5,Splat Roller,Inkling on the go,5197
4500,5,Squiffer,Full charge,10828
4500,5,Squiffer,Minimum charge,2165
4500,5,Slosher,Single slosh,6930
4500,6,Splattershot,Shot,1567
4500,6,Splattershot Jr.,Shot,1306
4500,6,Splat Roller,Horizontal swing,6531
4500,6,Splat Roller,Vertical swing,8709
4500,6,Splat Roller,Inkling on the go,5225
4500,6,Squiffer,Full charge,10886
4500,6,Squiffer,Minimum charge,2177
4500,6,Slosher,Single slosh,6967
4500,6,Octobrush,Brush swing,2612
4500,6,Octobrush,Inking on the go,1741
4500,7,Splattershot,Shot,1576
4500,7,Splattershot Jr.,Shot,1313
4500,7,Splat Roller,Horizontal swing,6569
4500,7,Splat Roller,Vertical swing,8759
4500,7,Splat Roller,Inkling on the go,5255
4500,7,Squiffer,Full charge,10949
4500,7,Squiffer,Minimum charge,2189
4500,7,Slosher,Single slosh,7007
4500,7,Blaster,Direct hit,9635
4500,7,Blaster,Explosion (max),6744
4500,7,Blaster,Explosion (min),4817
4500,7,Octobrush,Brush swing,2627
4500,7,Octobrush,Inking on the go,1751
4500,8,Splattershot,Shot,1586
4500,8,Splattershot Jr.,Shot,1322
4500,8,Splat Roller,Horizontal swing,6610
4500,8,Splat Roller,Vertical swing,8814
4500,8,Splat Roller,Inkling on the go,5288
4500,8,Squiffer,Full charge,11017
4500,8,Squiffer,Minimum charge,2203
4500,8,Slosher,Single slosh,7051
4500,8,Blaster,Direct hit,9695
4500,8,Blaster,Explosion (max),6786
4500,8,Blaster,Explosion (min),4847
4500,8,Octobrush,Brush swing,2644
4500,8,Octobrush,Inking on the go,1762
4500,9,Splattershot,Shot,1597
4500,9,Splattershot Jr.,Shot,1330
4500,9,Splat Roller,Horizontal swing,6654
4500,9,Splat Roller,Vertical swing,8872
4500,9,Splat Roller,Inkling on the go,5323
4500,9,Squiffer,Full charge,11091
4500,9,Squiffer,Minimum charge,2218
4500,9,Splat Brella,All shots hit,7895
4500,9,Splat Brella,Single shot,1597
4500,9,Splat Brella,Launched brella,6654
4500,9,Blaster,Direct hit,9760
4500,9,Blaster,Explosion (max),6832
4500,9,Blaster,Explosion (min),4880
4500,9,Octobrush,Brush swing,2661
4500,9,Octobrush,Inking on the go,1774
4500,10,Splattershot,Shot,1608
4500,10,Splattershot Jr.,Shot,1340
4500,10,Splat Roller,Horizontal swing,6701
4500,10,Splat Roller,Vertical swing,8935
4500,10,Splat Roller,Inkling on the go,5361
4500,10,Squiffer,Full charge,11169
4500,10,Squiffer,Minimum charge,2233
4500,10,Splat Brella,All shots hit,8042
4500,10,Splat Brella,Single shot,1608
4500,10,Splat Brella,Launched brella,6701
4500,10,Blaster,Direct hit,9829
4500,10,Blaster,Explosion (max),6880
4500,10,Blaster,Explosion (min),4914
4500,10,Octobrush,Brush swing,2680
4500,10,Octobrush,Inking on the go,1787
4500,11,Splattershot,Shot,1620
4500,11,Splattershot Jr.,Shot,1350
4500,11,Splat Roller,Horizontal swing,6752
4500,11,Splat Roller,Vertical swing,9003
4500,11,Splat Roller,Inkling on the go,5401
4500,11,Squiffer,Full charge,11253
4500,11,Squiffer,Minimum charge,2250
4500,11,Splat Brella,All shots hit,8102
4500,11,Splat Brella,Single shot,1620
4500,11,Splat Brella,Launched brella,6752
4500,11,Blaster,Direct hit,9903
4500,11,Blaster,Explosion (max),6932
4500,11,Blaster,Explosion (min),4951
4500,11,Octobrush,Brush swing,2700
4500,11,Octobrush,Inking on the go,1800
4500,12,Splattershot,Shot,1633
4500,12,Splattershot Jr.,Shot,1361
4500,12,Splat Roller,Horizontal swing,6805
4500,12,Splat Roller,Vertical swing,9074
4500,12,Splat Roller,Inkling on the go,5444
4500,12,Splat Brella,All shots hit,8166
4500,12,Splat Brella,Single shot,1633
4500,12,Splat Brella,Launched brella,6805
4500,12,Blaster,Direct hit,9981
4500,12,Blaster,Explosion (max),6987
4500,12,Blaster,Explosion (min),4990
4500,13,Splattershot,Shot,1647
4500,13,Splat Roller,Horizontal swing,6865
4500,13,Splat Roller,Vertical swing,9154
4500,13,Splat Roller,Inkling on the go,5492
4500,13,Splat Brella,All shots hit,8238
4500,13,Splat Brella,Single shot,1647
4500,13,Splat Brella,Launched brella,6865
4500,14,Splattershot,Shot,1662
4500,14,Splattershot Jr.,Shot,1385
4500,14,Splat Roller,Horizontal swing,6928
4500,14,Splat Roller,Vertical swing,9238
4500,14,Splat Roller,Inkling on the go,5542
4500,14,Splat Brella,All shots hit,8314
4500,14,Splat Brella,Single shot,1662
4500,14,Splat Brella,Launched brella,6928
4500,15,Splattershot,Shot,1679
4500,15,Splattershot Jr.,Shot,1399
4500,15,Squelcher,Shot,2519
4500,15,Squiffer,Full charge,11663
4500,15,Squiffer,Minimum charge,2332
4500,15,Mini Splatling,Shot,1819
4500,15,Splat Brella,All shots hit,8397
4500,15,Splat Brella,Single shot,1679
4500,15,Splat Brella,Launched brella,6997
4500,15,Blaster,Direct hit,10263
4500,15,Blaster,Explosion (max),7184
4500,15,Blaster,Explosion (min),5131
4500,15,Rapid Blaster Pro,Direct hit,8379
4500,15,Rapid Blaster Pro,Explosion,4198
4500,15,Splatana Stamper,Horizontal slash,4665
4500,15,Splatana Stamper,Charged slash,8397
4500,15,Splatana Stamper,Charged slash (direct hit),10263
4500,16,Splattershot,Shot,1696
4500,16,Splattershot Jr.,Shot,1414
4500,16,Squelcher,Shot,2545
4500,16,Squiffer,Full charge,11784
4500,16,Squiffer,Minimum charge,2356
4500,16,Sloshing Machine,Direct hit,9427
4500,16,Sloshing Machine,Explosion,5656
4500,16,Mini Splatling,Shot,1838
4500,16,Splat Dualies,Shot,1838
4500,16,Splat Brella,All shots hit,8484
4500,16,Splat Brella,Single shot,1696
4500,16,Splat Brella,Launched brella,7070
4500,16,Tenta Brella,All shots hit,16968
4500,16,Tenta Brella,Single shot,2403
4500,16,Tenta Brella,Launched brella,11784
4500,16,Blaster,Direct hit,10369
4500,16,Blaster,Explosion (max),7258
4500,16,Blaster,Explosion (min),5184
4500,16,Rapid Blaster Pro,Direct hit,8484
4500,16,Rapid Blaster Pro,Explosion,4242
4500,16,Octobrush,Brush swing,2828
4500,16,Octobrush,Inking on the go,1885
4500,16,Tri-Stringer,Explosion,1885
4500,16,Tri-Stringer,Full charge,5656
4500,16,Splatana Stamper,Horizontal slash,4713
4500,16,Splatana Stamper,Charged slash,8484
4500,16,Splatana Stamper,Charged slash (direct hit),10369
4500,17,Splattershot,Shot,1715
4500,17,Splattershot Jr.,Shot,1429
4500,17,Squelcher,Shot,2573
4500,17,Squiffer,Full charge,11915
4500,17,Squiffer,Minimum charge,2383
4500,17,Slosher,Single slosh,7625
4500,17,Sloshing Machine,Direct hit,9532
4500,17,Sloshing Machine,Explosion,5719
4500,17,Mini Splatling,Shot,1858
4500,17,Splat Dualies,Shot,1858
4500,17,Glooga Dualies,Pre-Dodge Roll,2573
4500,17,Glooga Dualies,Post-Dodge Roll,3717
4500,17,Splat Brella,All shots hit,8578
4500,17,Splat Brella,Single shot,1715
4500,17,Splat Brella,Launched brella,7149
4500,17,Tenta Brella,All shots hit,17157
4500,17,Tenta Brella,Single shot,2430
4500,17,Tenta Brella,Launched brella,11915
4500,17,Blaster,Direct hit,10485
4500,17,Blaster,Explosion (max),7339
4500,17,Blaster,Explosion (min),5242
4500,17,Rapid Blaster Pro,Direct hit,8578
4500,17,Rapid Blaster Pro,Explosion,4289
4500,17,Octobrush,Brush swing,2859
4500,17,Octobrush,Inking on the go,1906
4500,17,Splatana Stamper,Horizontal slash,4766
4500,17,Splatana Stamper,Charged slash,8578
4500,17,Splatana Stamper,Charged slash (direct hit),10485
4500,18,Splattershot,Shot,1736
4500,18,Splattershot Jr.,Shot,1446
4500,18,Squelcher,Shot,2604
4500,18,Splat Roller,Horizontal swing,7234
4500,18,Splat Roller,Vertical swing,9645
4500,18,Splat Roller,Inkling on the go,5787
4500,18,E-liter,Full charge,28936
4500,18,E-liter,Minimum charge,2411
4500,18,Squiffer,Full charge,12057
4500,18,Squiffer,Minimum charge,2411
4500,18,Slosher,Single slosh,7716
4500,18,Sloshing Machine,Direct hit,9645
4500,18,Sloshing Machine,Explosion,5787
4500,18,Mini Splatling,Shot,1880
4500,18,Splat Dualies,Shot,1880
4500,18,Glooga Dualies,Pre-Dodge Roll,2604
4500,18,Glooga Dualies,Post-Dodge Roll,3761
4500,18,Splat Brella,All shots hit,8681
4500,18,Splat Brella,Single shot,1736
4500,18,Splat Brella,Launched brella,7234
4500,18,Tenta Brella,All shots hit,17362
4500,18,Tenta Brella,Single shot,2459
4500,18,Tenta Brella,Launched brella,12057
4500,18,Blaster,Direct hit,10610
4500,18,Blaster,Explosion (max),7427
4500,18,Blaster,Explosion (min),5305
4500,18,Rapid Blaster Pro,Direct hit,8681
4500,18,Rapid Blaster Pro,Explosion,4340
4500,18,Octobrush,Brush swing,2893
4500,18,Octobrush,Inking on the go,1929
4500,18,Splatana Stamper,Horizontal slash,4822
4500,18,Splatana Stamper,Charged slash,8681
4500,18,Splatana Stamper,Charged slash (direct hit),10610
4500,19,Splattershot,Shot,1758
4500,19,Splattershot Jr.,Shot,1465
4500,19,Squelcher,Shot,2637
4500,19,Splat Roller,Horizontal swing,7325
4500,19,Splat Roller,Vertical swing,9767
4500,19,Splat Roller,Inkling on the go,5860
4500,19,E-liter,Full charge,29302
4500,19,E-liter,Minimum charge,2441
4500,19,Squiffer,Full charge,12209
4500,19,Squiffer,Minimum charge,2441
4500,19,Slosher,Single slosh,7813
4500,19,Sloshing Machine,Direct hit,9767
4500,19,Sloshing Machine,Explosion,5860
4500,19,Mini Splatling,Shot,1904
4500,19,Splat Dualies,Shot,1904
4500,19,Glooga Dualies,Pre-Dodge Roll,2637
4500,19,Glooga Dualies,Post-Dodge Roll,3809
4500,19,Splat Brella,All shots hit,8790
4500,19,Splat Brella,Single shot,1758
4500,19,Splat Brella,Launched brella,7325
4500,19,Tenta Brella,All shots hit,17581
4500,19,Tenta Brella,Single shot,2490
4500,19,Tenta Brella,Launched brella,12209
4500,19,Blaster,Direct hit,10744
4500,19,Blaster,Explosion (max),7520
4500,19,Blaster,Explosion (min),5372
4500,19,Rapid Blaster Pro,Direct hit,8790
4500,19,Rapid Blaster Pro,Explosion,4395
4500,19,Octobrush,Brush swing,2930
4500,19,Octobrush,Inking on the go,1953
4500,19,Tri-Stringer,Explosion,1953
4500,19,Tri-Stringer,Full charge,5860
4500,19,Splatana Stamper,Horizontal slash,4883
4500,19,Splatana Stamper,Charged slash,8790
4500,19,Splatana Stamper,Charged slash (direct hit),10744
4500,20,Splattershot,Shot,1782
4500,20,Splattershot Jr.,Shot,1485
4500,20,Squelcher,Shot,2673
4500,20,Splat Roller,Horizontal swing,7426
4500,20,Splat Roller,Vertical swing,9901
4500,20,Splat Roller,Inkling on the go,5941
4500,20,Dynamo Roller,Horizontal swing,11882
4500,20,Dynamo Roller,Vertical swing,17823
4500,20,Dynamo Roller,Inkling on the go,29705
4500,20,E-liter,Full charge,29705
4500,20,E-liter,Minimum charge,2475
4500,20,Squiffer,Full charge,12377
4500,20,Squiffer,Minimum charge,2475
4500,20,Slosher,Single slosh,7921
4500,20,Sloshing Machine,Direct hit,9901
4500,20,Sloshing Machine,Explosion,5941
4500,20,Mini Splatling,Shot,1930
4500,20,Splat Dualies,Shot,1930
4500,20,Glooga Dualies,Pre-Dodge Roll,2673
4500,20,Glooga Dualies,Post-Dodge Roll,3861
4500,20,Splat Brella,All shots hit,8911
4500,20,Splat Brella,Single shot,1782
4500,20,Splat Brella,Launched brella,7426
4500,20,Tenta Brella,All shots hit,17823
4500,20,Tenta Brella,Single shot,2524
4500,20,Tenta Brella,Launched brella,12377
4500,20,Blaster,Direct hit,10891
4500,20,Blaster,Explosion (max),7624
4500,20,Blaster,Explosion (min),5445
4500,20,Rapid Blaster Pro,Direct hit,8911
4500,20,Rapid Blaster Pro,Explosion,4455
4500,20,Octobrush,Brush swing,2970
4500,20,Octobrush,Inking on the go,1980
4500,20,Splatana Stamper,Horizontal slash,4950
4500,20,Splatana Stamper,Charged slash,8911
4500,20,Splatana Stamper,Charged slash (direct hit),10891
4500,21,Splattershot,Shot,1808
4500,21,Splattershot Jr.,Shot,1506
4500,21,Squelcher,Shot,2712
4500,21,Splat Roller,Horizontal swing,7533
4500,21,Splat Roller,Vertical swing,10044
4500,21,Splat Roller,Inkling on the go,6026
4500,21,Dynamo Roller,Horizontal swing,12053
4500,21,Dynamo Roller,Vertical swing,18080
4500,21,Dynamo Roller,Inkling on the go,30133
4500,21,E-liter,Full charge,30133
4500,21,E-liter,Minimum charge,2511
4500,21,Squiffer,Full charge,12555
4500,21,Squiffer,Minimum charge,2511
4500,21,Slosher,Single slosh,8035
4500,21,Sloshing Machine,Direct hit,10044
4500,21,Sloshing Machine,Explosion,6026
4500,21,Mini Splatling,Shot,1958
4500,21,Splat Dualies,Shot,1958
4500,21,Glooga Dualies,Pre-Dodge Roll,2712
4500,21,Glooga Dualies,Post-Dodge Roll,3917
4500,21,Splat Brella,All shots hit,9040
4500,21,Splat Brella,Single shot,1808
4500,21,Splat Brella,Launched brella,7533
4500,21,Tenta Brella,All shots hit,18080
4500,21,Tenta Brella,Single shot,2561
4500,21,Tenta Brella,Launched brella,12555
4500,21,Blaster,Direct hit,11049
4500,21,Blaster,Explosion (max),7734
4500,21,Blaster,Explosion (min),5524
4500,21,Rapid Blaster Pro,Direct hit,9040
4500,21,Rapid Blaster Pro,Explosion,4520
4500,21,Octobrush,Brush swing,3013
4500,21,Octobrush,Inking on the go,2008
4500,21,Splatana Stamper,Horizontal slash,5022
4500,21,Splatana Stamper,Charged slash,9040
4500,21,Splatana Stamper,Charged slash (direct hit),11049
4500,22,Splattershot,Shot,1836
4500,22,Splattershot Jr.,Shot,1530
4500,22,Squelcher,Shot,2754
4500,22,Splat Roller,Horizontal swing,7650
4500,22,Splat Roller,Vertical swing,10200
4500,22,Splat Roller,Inkling on the go,6120
4500,22,Dynamo Roller,Horizontal swing,12240
4500,22,Dynamo Roller,Vertical swing,18360
4500,22,Dynamo Roller,Inkling on the go,30600
4500,22,E-liter,Full charge,30600
4500,22,E-liter,Minimum charge,2550
4500,22,Squiffer,Full charge,12750
4500,22,Squiffer,Minimum charge,2550
4500,22,Slosher,Single slosh,8160
4500,22,Sloshing Machine,Direct hit,10200
4500,22,Sloshing Machine,Explosion,6120
4500,22,Mini Splatling,Shot,1989
4500,22,Splat Dualies,Shot,1989
4500,22,Glooga Dualies,Pre-Dodge Roll,2754
4500,22,Glooga Dualies,Post-Dodge Roll,3978
4500,22,Splat Brella,All shots hit,9180
4500,22,Splat Brella,Single shot,1836
4500,22,Splat Brella,Launched brella,7650
4500,22,Tenta Brella,All shots hit,18360
4500,22,Tenta Brella,Single shot,2601
4500,22,Tenta Brella,Launched brella,12750
4500,22,Blaster,Direct hit,11220
4500,22,Blaster,Explosion (max),7854
4500,22,Blaster,Explosion (min),5610
4500,22,Rapid Blaster Pro,Direct hit,9180
4500,22,Rapid Blaster Pro,Explosion,4590
4500,22,Octobrush,Brush swing,3060
4500,22,Octobrush,Inking on the go,2040
4500,22,Splatana Stamper,Horizontal slash,5100
4500,22,Splatana Stamper,Charged slash,9180
4500,22,Splatana Stamper,Charged slash (direct hit),11220
4500,23,Splattershot,Shot,1866
4500,23,Splattershot Jr.,Shot,1555
4500,23,Squelcher,Shot,2799
4500,23,Splat Roller,Horizontal swing,7776
4500,23,Splat Roller,Vertical swing,10368
4500,23,Splat Roller,Inkling on the go,6220
4500,23,Dynamo Roller,Horizontal swing,12441
4500,23,Dynamo Roller,Vertical swing,18662
4500,23,Dynamo Roller,Inkling on the go,31104
4500,23,E-liter,Full charge,31104
4500,23,E-liter,Minimum charge,2592
4500,23,Squiffer,Full charge,12960
4500,23,Squiffer,Minimum charge,2592
4500,23,Slosher,Single slosh,8294
4500,23,Sloshing Machine,Direct hit,10368
4500,23,Sloshing Machine,Explosion,6220
4500,23,Mini Splatling,Shot,2021
4500,23,Splat Dualies,Shot,2021
4500,23,Glooga Dualies,Pre-Dodge Roll,2799
4500,23,Glooga Dualies,Post-Dodge Roll,4043
4500,23,Splat Brella,All shots hit,9331
4500,23,Splat Brella,Single shot,1866
4500,23,Splat Brella,Launched brella,7776
4500,23,Tenta Brella,All shots hit,18662
4500,23,Tenta Brella,Single shot,2643
4500,23,Tenta Brella,Launched brella,12960
4500,23,Blaster,Direct hit,11404
4500,23,Blaster,Explosion (max),7983
4500,23,Blaster,Explosion (min),5702
4500,23,Rapid Blaster Pro,Direct hit,9331
4500,23,Rapid Blaster Pro,Explosion,4665
4500,23,Octobrush,Brush swing,3110
4500,23,Octobrush,Inking on the go,2073
4500,23,Splatana Stamper,Horizontal slash,5184
4500,23,Splatana Stamper,Charged slash,9331
4500,23,Splatana Stamper,Charged slash (direct hit),11404
4500,24,Splattershot,Shot,1898
4500,24,Splattershot Jr.,Shot,1582
4500,24,Squelcher,Shot,2848
4500,24,Splat Roller,Horizontal swing,7911
4500,24,Splat Roller,Vertical swing,10548
4500,24,Splat Roller,Inkling on the go,6329
4500,24,Dynamo Roller,Horizontal swing,12658
4500,24,Dynamo Roller,Vertical swing,18987
4500,24,Dynamo Roller,Inkling on the go,31645
4500,24,E-liter,Full charge,31645
4500,24,E-liter,Minimum charge,2637
4500,24,Squiffer,Full charge,13185
4500,24,Squiffer,Minimum charge,2637
4500,24,Slosher,Single slosh,8438
4500,24,Sloshing Machine,Direct hit,10548
4500,24,Sloshing Machine,Explosion,6329
4500,24,Mini Splatling,Shot,2056
4500,24,Splat Dualies,Shot,2056
4500,24,Glooga Dualies,Pre-Dodge Roll,2848
4500,24,Glooga Dualies,Post-Dodge Roll,4113
4500,24,Splat Brella,All shots hit,9493
4500,24,Splat Brella,Single shot,1898
4500,24,Splat Brella,Launched brella,7911
4500,24,Tenta Brella,All shots hit,18987
4500,24,Tenta Brella,Single shot,2689
4500,24,Tenta Brella,Launched brella,13185
4500,24,Rapid Blaster Pro,Direct hit,9493
4500,24,Rapid Blaster Pro,Explosion,4746
4500,24,Octobrush,Brush swing,3164
4500,24,Octobrush,Inking on the go,2109
4500,24,Tri-Stringer,Explosion,2109
4500,24,Tri-Stringer,Full charge,6329
4500,24,Splatana Stamper,Horizontal slash,5274
4500,24,Splatana Stamper,Charged slash,9493
4500,24,Splatana Stamper,Charged slash (direct hit),11603
4500,25,Splattershot,Shot,1934
4500,25,Splattershot Jr.,Shot,1611
4500,25,Squelcher,Shot,2901
4500,25,Splat Roller,Horizontal swing,8059
4500,25,Splat Roller,Vertical swing,10746
4500,25,Splat Roller,Inkling on the go,6447
4500,25,Dynamo Roller,Horizontal swing,12895
4500,25,Dynamo Roller,Vertical swing,19342
4500,25,Dynamo Roller,Inkling on the go,32238
4500,25,E-liter,Full charge,32238
4500,25,E-liter,Minimum charge,2686
4500,25,Squiffer,Full charge,13432
4500,25,Squiffer,Minimum charge,2686
4500,25,Slosher,Single slosh,8596
4500,25,Sloshing Machine,Direct hit,10746
4500,25,Sloshing Machine,Explosion,6447
4500,25,Mini Splatling,Shot,2095
4500,25,Splat Dualies,Shot,2095
4500,25,Glooga Dualies,Pre-Dodge Roll,2901
4500,25,Glooga Dualies,Post-Dodge Roll,4190
4500,25,Splat Brella,All shots hit,9671
4500,25,Splat Brella,Single shot,1934
4500,25,Splat Brella,Launched brella,8059
4500,25,Blaster,Direct hit,11820
4500,25,Blaster,Explosion (max),8274
4500,25,Blaster,Explosion (min),5910
4500,25,Rapid Blaster Pro,Direct hit,9671
4500,25,Rapid Blaster Pro,Explosion,4835
4500,25,Octobrush,Brush swing,3223
4500,25,Octobrush,Inking on the go,2149
4500,25,Tri-Stringer,Explosion,2149
4500,25,Tri-Stringer,Full charge,6447
4500,26,Splattershot,Shot,1972
4500,26,Splattershot Jr.,Shot,1643
4500,26,Squelcher,Shot,2958
4500,26,Splat Roller,Horizontal swing,8217
4500,26,Splat Roller,Vertical swing,10956
4500,26,Splat Roller,Inkling on the go,6573
4500,26,Dynamo Roller,Horizontal swing,13147
4500,26,Dynamo Roller,Vertical swing,19720
4500,26,Dynamo Roller,Inkling on the go,32868
4500,26,E-liter,Full charge,32868
4500,26,E-liter,Minimum charge,2739
4500,26,Squiffer,Full charge,13695
4500,26,Squiffer,Minimum charge,2739
4500,26,Slosher,Single slosh,8764
4500,26,Mini Splatling,Shot,2136
4500,26,Splat Dualies,Shot,2136
4500,26,Glooga Dualies,Pre-Dodge Roll,2958
4500,26,Glooga Dualies,Post-Dodge Roll,4272
4500,26,Splat Brella,All shots hit,9860
4500,26,Splat Brella,Single shot,1972
4500,26,Splat Brella,Launched brella,8217
4500,26,Tenta Brella,All shots hit,19720
4500,26,Tenta Brella,Single shot,2793
4500,26,Tenta Brella,Launched brella,13695
4500,26,Blaster,Direct hit,12051
4500,26,Blaster,Explosion (max),8436
4500,26,Blaster,Explosion (min),6025
4500,26,Octobrush,Brush swing,3286
4500,26,Octobrush,Inking on the go,2191
4500,26,Tri-Stringer,Explosion,2191
4500,26,Tri-Stringer,Full charge,6573
4500,27,Splattershot,Shot,2012
4500,27,Splattershot Jr.,Shot,1677
4500,27,Squelcher,Shot,3019
4500,27,Splat Roller,Horizontal swing,8387
4500,27,Splat Roller,Vertical swing,11182
4500,27,Splat Roller,Inkling on the go,6709
4500,27,Dynamo Roller,Horizontal swing,13419
4500,27,Dynamo Roller,Vertical swing,20129
4500,27,Dynamo Roller,Inkling on the go,33548
4500,27,E-liter,Full charge,33548
4500,27,E-liter,Minimum charge,2795
4500,27,Squiffer,Full charge,13978
4500,27,Squiffer,Minimum charge,2795
4500,27,Slosher,Single slosh,8946
4500,27,Mini Splatling,Shot,2180
4500,27,Splat Dualies,Shot,2180
4500,27,Glooga Dualies,Pre-Dodge Roll,3019
4500,27,Glooga Dualies,Post-Dodge Roll,4361
4500,27,Splat Brella,All shots hit,10064
4500,27,Splat Brella,Single shot,2012
4500,27,Splat Brella,Launched brella,8387
4500,27,Tenta Brella,All shots hit,20129
4500,27,Tenta Brella,Single shot,2851
4500,27,Tenta Brella,Launched brella,13978
4500,27,Blaster,Direct hit,12301
4500,27,Blaster,Explosion (max),8610
4500,27,Blaster,Explosion (min),6150
4500,27,Octobrush,Brush swing,3354
4500,27,Octobrush,Inking on the go,2236
4500,28,Splattershot,Shot,2057
4500,28,Splattershot Jr.,Shot,1714
4500,28,Squelcher,Shot,3086
4500,28,Splat Roller,Horizontal swing,8572
4500,28,Splat Roller,Vertical swing,11430
4500,28,Splat Roller,Inkling on the go,6858
4500,28,Dynamo Roller,Horizontal swing,13716
4500,28,Dynamo Roller,Vertical swing,20575
4500,28,Dynamo Roller,Inkling on the go,34291
4500,28,E-liter,Full charge,34291
4500,28,E-liter,Minimum charge,2857
4500,28,Squiffer,Full charge,14288
4500,28,Squiffer,Minimum charge,2857
4500,28,Slosher,Single slosh,9144
4500,28,Sloshing Machine,Direct hit,11430
4500,28,Sloshing Machine,Explosion,6858
4500,28,Mini Splatling,Shot,2228
4500,28,Splat Dualies,Shot,2228
4500,28,Glooga Dualies,Pre-Dodge Roll,3086
4500,28,Glooga Dualies,Post-Dodge Roll,4457
4500,28,Splat Brella,All shots hit,10287
4500,28,Splat Brella,Single shot,2057
4500,28,Splat Brella,Launched brella,8572
4500,28,Tenta Brella,All shots hit,20575
4500,28,Tenta Brella,Single shot,2914
4500,28,Tenta Brella,Launched brella,14288
4500,28,Blaster,Direct hit,12573
4500,28,Blaster,Explosion (max),8801
4500,28,Blaster,Explosion (min),6286
4500,28,Rapid Blaster Pro,Direct hit,10287
4500,28,Rapid Blaster Pro,Explosion,5143
4500,28,Octobrush,Brush swing,3429
4500,28,Octobrush,Inking on the go,2286
4500,29,Splattershot,Shot,2105
4500,29,Splattershot Jr.,Shot,1754
4500,29,Squelcher,Shot,3157
4500,29,Splat Roller,Horizontal swing,8771
4500,29,Splat Roller,Vertical swing,11695
4500,29,Splat Roller,Inkling on the go,7017
4500,29,Dynamo Roller,Horizontal swing,14034
4500,29,Dynamo Roller,Vertical swing,21051
4500,29,Dynamo Roller,Inkling on the go,35085
4500,29,E-liter,Full charge,35085
