family,variant,description
Splattershot,Plastic-Bottle Splattershot,Balanced shooter optimized for [max] ink efficiency
Splattershot,Soap-Bottle Splattershot,Balanced shooter optimized for [max] range and ink coverage.
Splattershot,Glass-Bottle Splattershot,Balanced shooter optimized for [max] rate of fire.
Splattershot Jr.,Water-Wing Splattershot Jr.,Nimble shooter optimized for [max] ink efficiency.
Splattershot Jr.,Flamingo Splattershot Jr.,Nimble shooter optimized for [max] range and ink coverage.
Splattershot Jr.,Lifeguard Splattershot Jr.,Nimble shooter optimized for [max] rate of fire.
Squelcher,Jam Squelcher,Long-range shooter optimized for [max] ink efficiency.
Squelcher,Perfume Squelcher,Long-range shooter optimized for [max] range and ink coverage
Squelcher,Olive-Oil Squelcher,Long-range shooter optimized for [max] rate of fire.
Splat Roller,Balloon Roller,Balanced roller optimized for [max] ink efficiency.
Splat Roller,Shrimp Roller,Balanced roller optimized for [max] attack area of effect and ink coverage.
Splat Roller,Inner-Tube Roller,Balanced roller optimized for [max] swing and ink speed.
Dynamo Roller,Duct Roller,Heavy-hitting roller optimized for [max] ink efficiency.
Dynamo Roller,Turbine Roller,Heavy-hitting roller optimized for [max] attack area of effect and ink coverage.
Dynamo Roller,Engine Roller,Heavy-hitting roller optimized for [max] swing and ink speed.
E-liter,Diesel 4K,Heavy-hitting charger optimized for [max] ink efficiency.
E-liter,Unleaded 4K,Heavy-hitting charger optimized for [max] range and ink coverage.
E-liter,High-Octane 4K,Heavy-hitting charger optimized for [max] charge speed.
Squiffer,Detergent Charger,Nimble charger optimized for [max] ink efficiency.
Squiffer,Cleaner Charger,Nimble charger optimized for [max] range and ink coverage.
Squiffer,Bleach Charger,Nimble charger optimized for [max] charge speed.
Slosher,Polyethylene Slosher,Balanced slosher optimized for [max] ink efficiency.
Slosher,Sand Slosher,Balanced slosher optimized for [max] range and ink coverage.
Slosher,Camo Slosher,Balanced slosher optimized for [max] swing speed.
Sloshing Machine,Oil-Drum Pow Slosher,Explosive slosher optimized for [max] ink efficiency.
Sloshing Machine,Shichirin Pow Slosher,Explosive slosher optimized for [max] attack area of effect and ink coverage.
Sloshing Machine,Clay-Pot Pow Slosher,Explosive slosher optimized for [max] swing speed.
Heavy Splatling,LPG Splatling,High-capacity splatling optimized for [max] ink efficiency.
Heavy Splatling,ABC Splatling,High-capacity splatling optimized for [max] range and ink coverage.
Heavy Splatling,LN2 Splatling,High-capacity splatling optimized for [max] charge speed.
Mini Splatling,Gas-Can Splatling,Nimble splatling optimized for [max] ink efficiency.
Mini Splatling,Buoy Splatling,Nimble splatling optimized for [max] range and ink coverage.
Mini Splatling,Water-Jug Splatling,Nimble splatling optimized for [max] charge speed.
Splat Dualies,Diner Dualies,Balanced dualies optimized for [max] ink efficiency.
Splat Dualies,Sippy-Cup Dualies,Balanced dualies optimized for [max] range and ink coverage.
Splat Dualies,Sport-Bottle Dualies,Balanced dualies optimized for [max] Dodge Roll speed and rate of fire.
Glooga Dualies,Aluminum Twincans,Powerful dualies optimized for [max] ink efficiency.
Glooga Dualies,Steel Twincans,Powerful dualies optimized for [max] range and ink coverage.
Glooga Dualies,Titanium Twincans,Powerful dualies optimized for [max] Dodge Roll speed and rate of fire.
Splat Brella,Palm Brella,Balanced brella optimized for [max] ink efficiency.
Splat Brella,Flower Brella,Balanced brella optimized for [max] attack area of effect and ink coverage.
Splat Brella,Fruit Brella,Balanced brella optimized for [max] launch speed and rate of fire.
Tenta Brella,Tarp Brella,Large brella optimized for [max] ink efficiency.
Tenta Brella,Food-Stall Brella,Large brella optimized for [max] attack area of effect and ink coverage.
Tenta Brella,Thermal Brella,Large brella optimized for [max] launch speed and rate of fire.
Blaster,Oil Blaster,Balanced blaster optimized for [max] ink efficiency.
Blaster,Steam Blaster,Balanced blaster optimized for [max] attack area of effect and ink coverage.
Blaster,Butane Blaster,Balanced blaster optimized for [max] rate of fire.
Rapid Blaster Pro,Toy-Claw Blaster,Long-range blaster optimized for [max] ink efficiency.
Rapid Blaster Pro,Toy-Horn Blaster,Long-range blaster optimized for [max] attack area of effect and ink coverage.
Rapid Blaster Pro,Toy-Shark Blaster,Long-range blaster optimized for [max] rate of fire.
Octobrush,Cycle Brush,Balanced brush optimized for [max] ink efficiency.
Octobrush,Pulley Brush,Balanced brush optimized for [max] attack area of effect and ink coverage.
Octobrush,Touring Brush,Balanced brush optimized for [max] swing and ink speed.
Tri-Stringer,Bamboo Stringer,Balanced stringer optimized for [max] ink efficiency.
Tri-Stringer,Racket Stringer,Balanced stringer optimized for [max] attack area of effect and ink coverage.
Tri-Stringer,Alpine Stringer,Balanced stringer optimized for [max] charge speed.
Splatana Stamper,Wooden Splatana,Balanced splatana optimized for [max] ink efficiency.
Splatana Stamper,Plastic Splatana,Balanced splatana optimized for [max] range and ink coverage.
Splatana Stamper,Rail Splatana,Balanced splatana optimized for [max] swing and charge speed.
